name,create_dttm,pid,gender,age,short_nm,education_level_code,speciality,semester_cnt,subcide_rate,semester_cost_amt,initial_approved_amt,initial_term,utm_source,marketing_flg,approve_dttm,approve_flg,reject_reason,util_dttm,util_flg,score
Евсей Елисеевич Марков,2024-05-08,c07b676e-0830-4975-9148-83a27644f32a,M,17,Московский государственный университет имени М.В. Ломоносова (МГУ),SPECIALTY,Физика,5,3.5,315000,3150000.0,10,website,0,2024-05-26,1,,2024-05-21,1,0.53
Комарова Ираида Вадимовна,2024-05-06,be812a38-763f-4d64-bb7e-7a145afcd770,F,17,Московский государственный университет имени М.В. Ломоносова (МГУ),SPECIALTY,Физика,3,4.0,265000,1590000.0,6,bank,0,2024-06-22,1,,2024-06-04,1,0.7
Семенова Глафира Эльдаровна,2024-05-04,eed6ee1d-c455-4494-a83a-804b685f8a8f,F,18,Казанский федеральный университет (КФУ),BACHELOR,Электроника и наноэлектроника,1,4.0,180000,270000.0,2,social_media,0,,0,,2024-08-28,1,0.56
Ангелина Дмитриевна Комиссарова,2024-06-05,6bd3f59f-a616-4069-af6e-414ed4e09f80,F,15,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Информатика и вычислительная техника,2,4.4,450000,1800000.0,4,social_media,0,2024-09-04,1,,2024-08-02,1,0.66
Мельникова Евфросиния Натановна,2024-05-08,42179b91-4bac-4863-a6bb-b4a7ddf265b4,F,19,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Автоматизация и управление,2,3.6,320000,1536000.0,6,website,0,2024-06-28,1,,2024-06-01,1,0.69
Гущин Радим Богданович,2024-06-21,6bf34e60-db8b-4f7a-94b8-e7e60552b954,M,15,Пермский государственный национальный исследовательский университет (ПГНИУ),BACHELOR,Прикладная математика,2,4.6,150000,720000.0,8,bank,0,2024-08-16,1,,2024-07-04,1,0.62
Туров Влас Ильясович,2024-05-10,19a225de-a8a5-4405-a0d1-c944aa4ab6d1,M,22,Новосибирский государственный университет (НГУ),MASTER,Автоматизация и управление,2,3.3,230000,690000.0,4,bank,0,,0,,2024-05-22,1,0.7
Голубев Ипат Анатольевич,2024-05-29,d315d77f-77ca-4490-adf8-f13113449a8,M,15,Казанский федеральный университет (КФУ),BACHELOR,Информатика и вычислительная техника,3,3.6,240000,1440000.0,6,social_media,1,2024-07-12,1,,2024-06-23,1,0.63
Дарья Никифоровна Яковлева,2024-06-23,915ef8a7-608d-405b-9507-f377a3578014,F,17,Национальный исследовательский ядерный университет «МИФИ»,BACHELOR,Автоматизация и управление,1,3.4,160000,320000.0,2,social_media,0,2024-09-10,1,,2024-07-04,1,0.64
Фадей Борисович Пестов,2024-06-03,f0cb38c9-c79d-4e10-9877-16431e7e8a9,M,24,Национальный исследовательский ядерный университет «МИФИ»,MASTER,Электроника и наноэлектроника,1,3.2,180000,432000.0,4,bank,1,2024-07-13,1,,2024-06-08,1,0.7
Марфа Евгеньевна Михеева,2024-09-02,42a42ed0-5b16-4e60-9544-11fb636c632c,F,19,Сибирский федеральный университет (СФУ),BACHELOR,Прикладная математика,1,4.5,140000,210000.0,2,social_media,0,2024-09-14,1,,2024-09-04,1,0.58
Юлия Яковлевна Щукина,2024-06-03,db4b45f8-1960-407b-b326-146de1665734,F,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Информатика и вычислительная техника,2,4.6,400000,1600000.0,4,social_media,0,2024-07-09,1,,2024-06-30,1,0.67
Ефим Евсеевич Филиппов,2024-05-09,998d75a5-664d-48fa-aa21-949555f66315,M,18,Новосибирский государственный университет (НГУ),SPECIALTY,Механика,2,4.0,155000,465000.0,4,website,0,2024-09-08,1,,2024-07-25,1,0.64
Юлия Вячеславовна Фомичева,2024-09-07,0dc17694-c55b-4caf-badc-d2b124f60d0,F,19,Российский государственный университет нефти и газа имени И.М. Губкина,BACHELOR,Информатика и вычислительная техника,1,4.0,260000,390000.0,2,website,1,,0,,2024-09-08,1,0.68
Кузнецова Марина Кузьминична,2024-05-31,a63da3e5-74a5-4255-977f-d0e7de1eff57,F,15,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Автоматизация и управление,4,3.4,420000,3024000.0,8,social_media,0,2024-08-28,1,,2024-06-13,1,0.63
Маргарита Егоровна Фокина,2024-05-11,6eb1b8a4-906c-483d-8f6b-07ad77f59d50,F,15,Московский физико-технический институт (МФТИ),BACHELOR,Физика,2,3.9,165000,495000.0,6,website,0,2024-09-14,1,,2024-07-20,1,0.63
Георгий Денисович Бобылев,2024-05-01,bb34801b-a484-4a12-96cb-0b9adaceb335,M,24,Московский физико-технический институт (МФТИ),MASTER,Инженерия программного обеспечения,2,4.0,260000,1040000.0,4,website,0,,0,,2024-09-14,1,0.69
Сафонов Герман Валентинович,2024-05-02,130aa73a-17f8-47f8-81e8-c0d999174c72,M,19,Дальневосточный федеральный университет (ДВФУ),BACHELOR,Инженерия программного обеспечения,1,4.0,200000,300000.0,2,social_media,0,2024-05-16,1,,2024-05-08,1,0.64
Тетерин Селиван Феликсович,2024-07-02,92fdeb1b-002f-49cf-9e7f-ae03393bd634,M,18,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Автоматизация и управление,0,3.0,370000,370000.0,2,bank,0,2024-08-25,1,,2024-07-22,1,0.68
Моисеев Любомир Ануфриевич,2024-05-22,45708378-bfb9-4857-8a51-7efc6b021bf,M,15,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),BACHELOR,Информатика и вычислительная техника,3,3.3,320000,1920000.0,8,bank,1,2024-06-29,1,,2024-06-22,1,0.55
Лебедев Аристарх Ильясович,2024-05-25,4b2cfa88-e059-4bf6-b25c-40a7e2bd5a9,M,19,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Физика,0,4.0,415000,415000.0,2,social_media,1,2024-09-14,1,,2024-09-12,1,0.64
Виссарион Валентинович Селезнев,2024-06-15,70b1994b-b8a2-45c5-9e98-b1fa50e4975,M,17,Новосибирский государственный университет (НГУ),BACHELOR,Прикладная математика,1,3.4,260000,624000.0,4,bank,1,2024-07-04,1,,2024-06-23,1,0.66
Стоян Геннадиевич Миронов,2024-06-23,f3028d35-beca-40aa-8cde-3c6d4c32561a,M,23,Сибирский федеральный университет (СФУ),MASTER,Химия,2,3.6,200000,0.0,4,website,0,,0,Некорректные данные,,0,0.8
Капустина Феврония Святославовна,2024-05-31,4c7e5000-915a-4acc-b03b-2d6a8f2c8393,F,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Электроника и наноэлектроника,2,3.9,340000,1020000.0,6,social_media,0,2024-08-27,1,,2024-08-18,1,0.67
Горшкова Ульяна Львовна,2024-05-27,1f1c86e5-1c23-4040-ab40-fdd412276b3a,F,18,Московский физико-технический институт (МФТИ),BACHELOR,Химия,4,3.1,160000,1152000.0,8,bank,0,2024-08-19,1,,2024-07-26,1,0.54
Вера Вадимовна Меркушева,2024-05-17,bd7306ca-5b98-416f-9e9f-bd192e76737,F,20,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),MASTER,Прикладная математика,1,4.0,400000,800000.0,2,social_media,1,2024-08-27,1,,2024-08-10,1,0.69
Станимир Арсеньевич Кондратьев,2024-07-01,629f310e-1453-4691-8320-424632b0a56e,M,22,Московский государственный университет имени М.В. Ломоносова (МГУ),MASTER,Информатика и вычислительная техника,1,4.6,400000,720000.0,2,website,0,,0,,2024-09-14,1,0.63
Харитонов Евграф Геннадиевич,2024-06-17,1c1402e2-9108-4746-b79c-c763d2abad2f,M,15,Сибирский федеральный университет (СФУ),BACHELOR,Инженерия программного обеспечения,3,3.2,150000,810000.0,6,bank,0,,0,,2024-08-17,1,0.54
Родионова Варвара Павловна,2024-08-07,4f8b2816-bf86-4b7c-9be4-f0c5b582a343,F,16,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Прикладная математика,2,4.0,350000,1050000.0,4,website,0,,0,,2024-08-28,1,0.65
Носкова Фаина Федоровна,2024-05-15,1d90dd56-0bef-4247-9fd1-75ec68d447fb,F,17,Московский физико-технический институт (МФТИ),SPECIALTY,Инженерия программного обеспечения,1,4.0,210000,420000.0,2,website,0,2024-08-06,1,,2024-06-01,1,0.51
г-н Архипов Светозар Трофимович,2024-05-13,8baaada6-c57f-404d-987c-a36fe6858b6,M,18,Новосибирский государственный университет (НГУ),BACHELOR,Автоматизация и управление,0,3.5,230000,230000.0,2,social_media,1,2024-06-21,1,,2024-05-16,1,0.63
Анастасия Павловна Большакова,2024-05-17,e54e807b-00bf-45fb-8381-1dc2b3744b46,F,18,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),SPECIALTY,Прикладная математика,1,3.9,350000,700000.0,4,bank,0,2024-07-28,1,,2024-07-21,1,0.67
Евдокимов Сильвестр Евсеевич,2024-05-30,2b79e674-83fb-4f55-b9c2-4ac695b178c,M,16,Российский государственный университет нефти и газа имени И.М. Губкина,BACHELOR,Инженерия программного обеспечения,3,4.0,270000,1620000.0,8,social_media,1,2024-08-25,1,,2024-07-06,1,0.5
Блинова Полина Святославовна,2024-05-14,9ff03dfd-8ad1-4b19-9899-4f0dc47a1c61,F,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Электроника и наноэлектроника,2,4.0,290000,1392000.0,8,bank,0,2024-09-03,1,,2024-08-10,1,0.7
Майя Валериевна Ефремова,2024-05-16,89ef8f56-2601-4123-aca5-da2843265c26,F,21,Красноярский государственный университет (КГУ),MASTER,Автоматизация и управление,2,4.0,180000,540000.0,4,website,0,2024-07-23,1,,2024-06-02,1,0.69
Капустин Родион Эдгарович,2024-06-01,61a4b104-5d24-4f08-a058-7a70b92dfc1,M,15,Томский государственный университет (ТГУ),BACHELOR,Автоматизация и управление,4,4.6,215000,1720000.0,8,website,1,2024-08-18,1,,2024-08-05,1,0.63
Уварова Раиса Борисовна,2024-05-11,9ed846be-cbe3-4638-9068-fdc811e141e1,F,18,Московский государственный университет имени М.В. Ломоносова (МГУ),SPECIALTY,Автоматизация и управление,2,4.0,270000,1296000.0,6,social_media,0,2024-05-25,1,,2024-05-22,1,0.67
Зайцева Акулина Евгеньевна,2024-05-26,76a9fa53-d7f2-46a9-861b-dd08d1feab33,F,16,Пермский государственный национальный исследовательский университет (ПГНИУ),BACHELOR,Химия,2,4.0,110000,352000.0,4,social_media,0,2024-09-10,1,,2024-06-26,1,0.61
Антонов Феликс Трофимович,2024-06-05,4793d828-d402-49a9-a90a-39fd7dcac4e,M,18,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Кибернетика,2,3.7,310000,1488000.0,8,social_media,1,2024-07-20,1,,2024-06-23,1,0.52
Эммануил Эдуардович Беспалов,2024-05-13,34b4bbc7-08b4-45a8-bb83-19f142a6f9f,M,17,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Электроника и наноэлектроника,4,4.0,390000,3120000.0,8,social_media,1,2024-08-23,1,,2024-07-17,1,0.52
Панова Татьяна Никифоровна,2024-06-26,6579bd7c-621f-4303-b621-1b987e3eb4d8,F,18,Московский физико-технический институт (МФТИ),SPECIALTY,Физика,2,4.7,265000,1060000.0,4,social_media,0,,0,,2024-07-22,1,0.64
Аристарх Власович Логинов,2024-06-30,fd162d3a-4d28-4091-b07c-34b295f85a5a,M,23,Пермский государственный национальный исследовательский университет (ПГНИУ),MASTER,Химия,2,3.3,110000,396000.0,4,social_media,0,2024-07-12,1,,2024-07-10,1,0.52
Ангелина Вениаминовна Громова,2024-05-11,90955844-c2fc-4f5f-b0dc-2b84e924f48d,F,21,Российский государственный университет нефти и газа имени И.М. Губкина,MASTER,Химия,2,4.0,170000,510000.0,4,bank,0,2024-07-19,1,,2024-06-07,1,0.63
Галина Вадимовна Котова,2024-05-19,b1a75050-9095-4999-90cc-d65e1b2d6f4,F,23,Томский государственный университет (ТГУ),MASTER,Биотехнология,2,4.0,220000,880000.0,4,website,1,,0,,2024-08-01,1,0.73
Дорофей Исидорович Галкин,2024-06-17,be098354-0c00-483c-b6d4-a529b0b9bea,M,17,Красноярский государственный университет (КГУ),BACHELOR,Прикладная математика,1,3.8,260000,312000.0,2,social_media,1,2024-09-05,1,,2024-07-01,1,0.48
Нина Егоровна Соболева,2024-05-19,73e89eec-1e1e-44f7-be9a-f1a6e692305e,F,17,Казанский федеральный университет (КФУ),BACHELOR,Механика,1,4.0,185000,370000.0,2,website,0,,0,,2024-07-15,1,0.56
Зоя Тарасовна Гущина,2024-05-01,98aea2e1-fd0c-4b55-9d39-948b6369f229,F,15,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Биотехнология,3,4.0,275000,1650000.0,6,social_media,0,2024-09-05,1,,2024-06-24,1,0.66
Шилов Виктор Фокич,2024-07-03,63341dc2-f175-47ad-8d89-5a797acf522e,M,18,Московский физико-технический институт (МФТИ),SPECIALTY,Информатика и вычислительная техника,3,4.7,250000,1500000.0,6,bank,0,2024-08-26,1,,2024-07-19,1,0.53
Роман Гаврилович Гурьев,2024-05-13,50b05381-3832-42d0-a411-34dcafaf843f,M,21,Красноярский государственный университет (КГУ),MASTER,Биотехнология,1,3.4,185000,370000.0,4,social_media,0,2024-07-30,1,,2024-06-27,1,0.52
Нинель Эдуардовна Баранова,2024-05-12,1eb43242-c9ed-4bef-85ee-60a5ea0ae1b9,F,16,Московский физико-технический институт (МФТИ),SPECIALTY,Информатика и вычислительная техника,4,4.0,250000,2250000.0,10,social_media,0,2024-08-23,1,,2024-08-11,1,0.61
Соловьева Дарья Викторовна,2024-07-02,33b23218-aef8-4131-a38a-87f6899342a,F,20,Новосибирский государственный университет (НГУ),MASTER,Информатика и вычислительная техника,1,4.7,260000,520000.0,4,bank,1,2024-07-15,1,,2024-07-07,1,0.64
Тимофеев Эмиль Арсеньевич,2024-05-10,36943722-3f8b-4b6d-aa4b-a5c9a5130e3,M,22,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),MASTER,Информатика и вычислительная техника,0,3.6,450000,450000.0,2,bank,1,2024-06-25,1,,2024-06-01,1,0.7
Самсонов Геннадий Афанасьевич,2024-05-08,29c915f7-8525-47b3-b006-ec821370e0c3,M,20,Московский государственный университет имени М.В. Ломоносова (МГУ),MASTER,Автоматизация и управление,2,3.3,270000,0.0,4,website,0,,0,Недостаток документов,,0,0.88
Афанасьев Конон Игнатьевич,2024-06-04,73521663-0606-46a4-92bf-5886effbb67,M,19,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Информатика и вычислительная техника,2,3.8,450000,1350000.0,4,website,1,2024-09-01,1,,2024-08-13,1,0.64
Ангелина Михайловна Большакова,2024-05-14,41ebeda4-49e1-4b89-93a7-867360e6dbe,F,15,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Информатика и вычислительная техника,4,4.0,350000,2800000.0,8,bank,1,2024-09-05,1,,2024-07-13,1,0.57
Гусева Анастасия Геннадиевна,2024-05-07,d43c4cb2-4172-405c-b20a-ba73625a36f0,F,18,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Прикладная математика,1,3.8,350000,700000.0,2,bank,0,2024-09-07,1,,2024-06-25,1,0.7
Гаврила Трифонович Щукин,2024-05-18,7da142f2-5e02-4aa1-afa3-b988a0c64df,M,17,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Прикладная математика,2,3.9,350000,1400000.0,4,website,1,2024-08-09,1,,2024-06-12,1,0.51
Кулаков Аверьян Ерофеевич,2024-05-27,db4d56d9-2bf8-4a22-9431-5f983e1265f9,M,16,Казанский федеральный университет (КФУ),BACHELOR,Инженерия программного обеспечения,3,4.0,250000,1500000.0,8,social_media,0,2024-08-28,1,,2024-07-01,1,0.64
Лукия Ильинична Зайцева,2024-06-12,95970b2e-44e9-4349-9946-0175f59aba42,F,15,Московский физико-технический институт (МФТИ),BACHELOR,Прикладная математика,2,3.6,250000,0.0,6,website,0,,0,Плохая КИ,,0,0.82
Ладислав Ефимьевич Шилов,2024-07-04,9858e3af-36ef-48fe-8b87-fb5f1605a63,M,16,Российский государственный университет нефти и газа имени И.М. Губкина,SPECIALTY,Инженерия программного обеспечения,4,3.7,220000,1760000.0,8,bank,1,2024-08-11,1,,2024-08-03,1,0.65
Андрон Вячеславович Алексеев,2024-05-27,2a87ac22-bbd6-469f-bedd-a8827cc7067,M,15,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Механика,2,4.0,345000,1035000.0,4,website,1,2024-07-17,1,,2024-05-28,1,0.64
Фёкла Юльевна Меркушева,2024-05-02,6ab1a30f-d4f0-41b1-9fd8-f52cf2276e3b,F,18,Казанский федеральный университет (КФУ),BACHELOR,Прикладная математика,3,4.0,240000,1440000.0,8,social_media,0,2024-06-21,1,,2024-05-10,1,0.56
Глафира Георгиевна Дьячкова,2024-05-25,7d5c8740-767f-48ff-af4f-125ad13b319b,F,16,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),SPECIALTY,Прикладная математика,2,3.0,350000,1750000.0,10,website,0,2024-06-20,1,,2024-05-29,1,0.5
Орехова Василиса Алексеевна,2024-06-26,171e36ef-dbe2-4513-9d69-b70825dca731,F,17,Сибирский федеральный университет (СФУ),BACHELOR,Химия,1,4.0,100000,240000.0,4,social_media,0,2024-08-18,1,,2024-07-29,1,0.67
Родионова Наталья Егоровна,2024-06-02,67c16fab-4837-46f9-b59b-c2320ade6706,F,19,Томский государственный университет (ТГУ),BACHELOR,Биотехнология,4,4.6,120000,864000.0,8,social_media,0,2024-08-07,1,,2024-06-18,1,0.68
Фомин Аггей Всеволодович,2024-07-24,0ff0ea71-05cb-4a5e-8d88-c5eb210086cd,M,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Механика,2,4.5,345000,1380000.0,4,website,0,2024-09-14,1,,2024-08-06,1,0.54
Терентий Ярославович Панфилов,2024-07-25,24ff12f1-b020-45f5-8d36-b0ccdf422c6d,M,20,Пермский государственный национальный исследовательский университет (ПГНИУ),MASTER,Информатика и вычислительная техника,1,4.0,300000,720000.0,4,website,0,2024-08-25,1,,2024-08-25,1,0.53
Алевтина Филипповна Кириллова,2024-05-17,219d7246-b5d5-43d6-9bc6-6c7e0a8dcbcd,F,20,Московский государственный университет имени М.В. Ломоносова (МГУ),MASTER,Физика,1,4.0,265000,0.0,4,social_media,0,,0,Некорректные данные,,0,0.81
Кондратий Валентинович Пахомов,2024-05-22,23a89151-f565-4582-9004-a4604d1490f,M,21,Новосибирский государственный университет (НГУ),MASTER,Механика,2,3.2,255000,816000.0,4,social_media,1,2024-08-16,1,,2024-05-22,1,0.55
Клавдия Оскаровна Капустина,2024-06-17,2fa25571-df34-41e3-8399-a93afd3b0ca,F,18,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Кибернетика,2,4.8,260000,1248000.0,8,website,1,,0,,2024-09-10,1,0.58
Евгения Рудольфовна Самсонова,2024-05-10,b6272b26-b58e-4511-ac50-9bbf6bc7a47,F,15,Национальный исследовательский ядерный университет «МИФИ»,BACHELOR,Информатика и вычислительная техника,2,4.0,290000,1392000.0,6,bank,1,2024-07-06,1,,2024-06-17,1,0.66
Гущина Виктория Федоровна,2024-08-11,aefc39be-3b48-4ed8-9935-80f9cbd1f3ca,F,17,Сибирский федеральный университет (СФУ),BACHELOR,Информатика и вычислительная техника,2,4.0,240000,0.0,4,website,0,,0,Заявитель найден в ЧС,,0,0.77
Журавлева Вера Аркадьевна,2024-06-01,dfd6e21f-269b-4a8b-94e2-4e9a87e03d20,F,19,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Прикладная математика,1,4.2,300000,480000.0,2,bank,0,2024-07-09,1,,2024-06-13,1,0.72
Валерия Святославовна Давыдова,2024-06-21,de654d31-e1b8-42da-bb18-b5096cedab5,F,15,Новосибирский государственный университет (НГУ),BACHELOR,Инженерия программного обеспечения,3,4.9,320000,1920000.0,8,website,1,2024-09-12,1,,2024-08-27,1,0.65
Марина Федоровна Назарова,2024-05-14,c389216e-4b8c-4193-a90f-982e32ed47bb,F,20,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),MASTER,Прикладная математика,1,4.0,170000,272000.0,2,bank,0,2024-09-08,1,,2024-08-17,1,0.64
Евгения Николаевна Никонова,2024-06-15,af9a9a06-5abf-49ca-b810-8f2893239b0,F,15,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Автоматизация и управление,2,4.7,320000,1280000.0,4,social_media,1,,0,,2024-06-25,1,0.63
тов. Елисеева Прасковья Владиславовна,2024-06-22,8fded538-c1be-4579-bf55-2a219a1cb9dd,F,19,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Электроника и наноэлектроника,0,3.2,340000,340000.0,2,website,0,2024-08-12,1,,2024-07-28,1,0.56
Андреев Агап Устинович,2024-05-20,2f656442-3078-4d39-80e8-0202597bfa11,M,15,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Информатика и вычислительная техника,3,4.0,350000,2100000.0,8,social_media,0,2024-08-06,1,,2024-07-16,1,0.63
Калинин Наум Изотович,2024-06-05,4b37255d-06e8-422a-92ce-96315b8bb21,M,22,Казанский федеральный университет (КФУ),MASTER,Электроника и наноэлектроника,2,3.7,180000,0.0,4,social_media,1,,0,Заявитель найден в ЧС,,0,0.87
Дементьева Раиса Львовна,2024-06-22,e1e13953-017b-4040-b2b8-85d4bd022f35,F,21,Московский физико-технический институт (МФТИ),MASTER,Информатика и вычислительная техника,1,3.9,350000,840000.0,4,bank,0,2024-07-19,1,,2024-06-24,1,0.71
Мамонтова Прасковья Аркадьевна,2024-07-26,4b966a32-20f3-4bd8-90af-01a16de5112b,F,19,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),BACHELOR,Электроника и наноэлектроника,4,4.8,210000,1680000.0,8,bank,0,2024-09-01,1,,2024-08-23,1,0.63
Платон Устинович Игнатов,2024-06-10,48679aec-31ed-4246-b166-b4a28e25f34,M,17,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Информатика и вычислительная техника,1,4.7,400000,800000.0,4,bank,1,2024-08-25,1,,2024-06-20,1,0.66
Капустин Творимир Алексеевич,2024-05-16,0ae71898-4e09-4a6c-ac76-d6381f5e5d8,M,17,Новосибирский государственный университет (НГУ),SPECIALTY,Механика,2,3.4,205000,1025000.0,10,social_media,1,2024-06-01,1,,2024-05-18,1,0.61
Куликова Маргарита Антоновна,2024-05-08,e5eff05f-5a0d-49f8-a412-648b7c7e537,F,22,Российский государственный университет нефти и газа имени И.М. Губкина,MASTER,Информатика и вычислительная техника,2,4.0,260000,780000.0,4,bank,1,2024-07-25,1,,2024-07-16,1,0.74
Копылова Евфросиния Рудольфовна,2024-05-16,d5250ff9-6c4c-405b-94a2-7222eb2bf002,F,15,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Информатика и вычислительная техника,4,4.0,450000,0.0,8,bank,0,,0,Плохая КИ,,0,0.88
Мартьян Валерьевич Дмитриев,2024-06-04,187c7f0d-649b-4f29-8224-ed4cea20900b,M,17,Санкт-Петербургский государственный университет (СПбГУ),SPECIALTY,Кибернетика,1,3.3,260000,390000.0,2,website,0,2024-06-17,1,,2024-06-16,1,0.51
Мартын Вилорович Матвеев,2024-07-06,8ba1c973-58b5-49d9-a85f-744a509dce21,M,15,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Прикладная математика,2,4.6,350000,1050000.0,4,social_media,0,2024-07-13,1,,2024-07-09,1,0.64
Елизавета Петровна Федорова,2024-06-24,040520e7-bf20-43fd-ba6b-fd6b027be169,F,15,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Прикладная математика,3,4.0,300000,1620000.0,6,website,0,2024-08-19,1,,2024-08-13,1,0.66
Соколова Василиса Харитоновна,2024-05-09,2805345d-1245-4571-9011-8b7c42ad53cb,F,20,Томский государственный университет (ТГУ),MASTER,Инженерия программного обеспечения,2,3.6,155000,465000.0,4,website,0,2024-08-21,1,,2024-07-12,1,0.59
Федосеев Чеслав Артёмович,2024-05-10,2ec1a28f-cee5-4660-9c83-dc158a55e32,M,23,Казанский федеральный университет (КФУ),MASTER,Физика,2,4.0,205000,820000.0,4,social_media,1,2024-09-07,1,,2024-09-06,1,0.71
Евдокия Никифоровна Елисеева,2024-05-18,79925ef6-d5c7-4ef3-a9c9-c39295b90f43,F,17,Российский государственный университет нефти и газа имени И.М. Губкина,BACHELOR,Прикладная математика,3,3.1,210000,1260000.0,6,website,0,2024-08-05,1,,2024-05-28,1,0.66
Милен Венедиктович Хохлов,2024-05-19,2cd58bbb-700b-4680-8f15-12b20e2743dd,M,17,Московский государственный университет имени М.В. Ломоносова (МГУ),SPECIALTY,Биотехнология,4,4.0,275000,1980000.0,8,bank,0,2024-08-18,1,,2024-05-26,1,0.56
Эмиль Артемьевич Устинов,2024-06-12,be05aa70-53ee-4cf8-8f28-e464d06493ad,M,17,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Прикладная математика,2,3.7,400000,1800000.0,6,social_media,0,2024-09-05,1,,2024-07-06,1,0.49
тов. Степанова Алина Валериевна,2024-05-17,19b78939-0c77-4fad-bcc3-e16243907c97,F,22,Новосибирский государственный университет (НГУ),MASTER,Автоматизация и управление,2,4.0,230000,736000.0,4,social_media,0,2024-08-07,1,,2024-07-18,1,0.71
Каллистрат Абрамович Федосеев,2024-05-17,cd87c7c5-9bd8-41d6-9cdf-705ff42a20f2,M,19,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Прикладная математика,3,4.0,300000,1800000.0,8,website,0,2024-08-16,1,,2024-05-30,1,0.67
Попов Адам Богданович,2024-05-11,a6e75578-a923-4aaa-be70-ed77a22100f3,M,17,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Автоматизация и управление,2,4.0,370000,1110000.0,6,bank,0,2024-08-28,1,,2024-06-16,1,0.65
Любовь Борисовна Суханова,2024-05-19,052c9e3d-ca31-4f97-9441-ad2c436b9187,F,20,Санкт-Петербургский государственный университет (СПбГУ),MASTER,Прикладная математика,2,4.0,350000,1260000.0,4,social_media,0,2024-08-13,1,,2024-06-01,1,0.71
Блохин Станимир Тихонович,2024-06-10,57f6a59b-acb9-45ca-8cb6-1da3bd4f0c6b,M,18,Сибирский федеральный университет (СФУ),BACHELOR,Физика,2,3.5,105000,420000.0,8,website,0,2024-07-10,1,,2024-06-23,1,0.53
Карп Бенедиктович Аксенов,2024-05-07,5d68062f-d590-4611-a922-afb66ac3ac21,M,16,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Кибернетика,1,4.0,260000,624000.0,4,website,0,2024-08-25,1,,2024-07-08,1,0.65
Федотова Валерия Вениаминовна,2024-05-12,77445e3b-8e37-4e63-b41d-3e730bdc0068,F,18,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Автоматизация и управление,2,4.0,270000,810000.0,6,bank,0,2024-08-31,1,,2024-08-11,1,0.71
Фомин Тарас Власович,2024-05-04,ff39f931-9269-49c5-ad5a-420e5b349ddf,M,15,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Химия,4,3.0,310000,2480000.0,8,social_media,0,,0,,2024-06-06,1,0.47
Зоя Семеновна Архипова,2024-05-22,599927e0-35d8-478c-ac4d-bcd19b1f17a0,F,18,Московский физико-технический институт (МФТИ),BACHELOR,Инженерия программного обеспечения,2,3.3,210000,840000.0,8,website,0,2024-08-17,1,,2024-06-08,1,0.64
